Observatório do Plano Nacional de Educação

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Total;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Distrito Federal;53;87,3;43041,0;88,2;44092,0;91,0;48201,0;89,1;47958,0;90,6;45797,0;92,0;38186,0;92,3;40122,0;86,5;37691,0;94,0;46439,0;94,7;43599,0;94,1;46182,0;92,4;46968,0;92,8;42999,0;92,3;46405,0;
Belém;115;84,6;26468,0;80,6;23256,0;86,1;22782,0;85,7;21196,0;87,3;23911,0;85,7;20351,0;93,8;21888,0;90,0;27726,0;84,4;21643,0;89,0;27296,0;88,4;24999,0;88,1;26538,0;96,4;23471,0;85,5;22795,0;
Fortaleza;123;83,5;55272,0;89,5;55191,0;86,3;59740,0;90,3;66659,0;84,0;57389,0;82,4;50034,0;85,6;47617,0;85,3;53283,0;86,7;48825,0;87,7;49989,0;89,5;54640,0;85,9;46675,0;83,3;45729,0;86,5;43170,0;
Recife;126;81,0;57322,0;81,8;65576,0;85,9;60100,0;84,4;53936,0;88,5;53866,0;90,9;55565,0;86,2;51111,0;86,2;57483,0;88,0;52475,0;88,4;54095,0;89,8;45533,0;88,4;44570,0;90,9;48287,0;92,2;45708,0;
Salvador;129;90,7;29181,0;90,4;30824,0;87,7;26618,0;84,9;21504,0;84,2;18758,0;88,4;14749,0;91,4;20656,0;92,0;21173,0;88,3;21663,0;94,0;18919,0;87,5;16800,0;88,4;19531,0;89,6;19333,0;87,0;20159,0;
Belo Horizonte;131;84,6;101208,0;89,6;93979,0;91,3;102989,0;90,9;94662,0;86,5;83264,0;89,1;82708,0;89,0;75847,0;89,2;74464,0;88,4;67511,0;87,6;85351,0;88,0;65625,0;92,7;70945,0;88,0;71585,0;89,2;71799,0;
Rio de Janeiro;133;90,3;261598,0;87,2;253180,0;91,2;262428,0;91,6;231978,0;91,4;248267,0;89,2;232072,0;90,5;209870,0;91,6;205046,0;92,5;238150,0;91,6;215427,0;89,5;203846,0;91,8;216195,0;89,9;178331,0;92,2;195661,0;
São Paulo;135;89,2;554210,0;88,7;492015,0;87,7;539717,0;90,2;544927,0;91,0;506169,0;90,4;439631,0;89,9;442184,0;89,1;429737,0;90,1;420930,0;89,3;387326,0;91,7;390485,0;91,5;425604,0;90,5;437596,0;93,0;416129,0;
Curitiba;141;74,8;86737,0;80,2;95614,0;83,1;98621,0;86,6;92743,0;81,5;93782,0;80,6;92030,0;82,5;90982,0;81,6;92609,0;79,1;77512,0;86,4;93777,0;83,7;91587,0;84,3;92841,0;87,6;87961,0;88,6;97490,0;
Porto Alegre;143;78,0;133371,0;78,7;124838,0;79,9;126685,0;80,9;123759,0;78,6;118496,0;79,0;109478,0;81,9;117024,0;83,6;117976,0;83,1;128704,0;81,9;122928,0;84,7;127473,0;79,6;119968,0;83,0;115353,0;83,2;121883,0;

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Raça/cor / Pretos;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;70,8;385043,0;70,5;404612,0;73,9;426925,0;74,4;433865,0;74,8;472312,0;76,8;536655,0;78,5;534743,0;80,3;520555,0;81,2;507716,0;76,9;607399,0;78,5;604029,0;80,0;606675,0;80,6;681133,0;81,7;734681,0;
Norte;1;81,0;15840,0;72,1;21044,0;69,8;18663,0;70,1;30584,0;63,3;25442,0;69,4;36564,0;77,0;39445,0;71,1;30776,0;78,6;25136,0;81,0;54697,0;77,8;43579,0;79,8;50341,0;76,2;53815,0;79,2;53773,0;
Nordeste;2;73,9;139019,0;72,8;135954,0;73,7;138958,0;72,0;134734,0;74,9;156869,0;77,2;185995,0;80,0;196978,0;81,4;175519,0;81,2;178313,0;76,6;229238,0;78,1;208137,0;79,2;211399,0;83,3;265981,0;81,0;262860,0;
Sudeste;3;69,3;185343,0;70,1;198842,0;75,3;213124,0;77,4;208544,0;78,2;229910,0;77,5;245338,0;80,2;224491,0;81,2;248026,0;83,0;234385,0;78,0;245290,0;80,2;266631,0;83,7;268122,0;81,5;281316,0;83,6;339229,0;
Sul;4;62,5;28802,0;59,9;27468,0;72,2;32700,0;73,3;34704,0;64,3;30212,0;75,8;35751,0;71,8;39524,0;78,7;35147,0;73,9;32812,0;64,9;34328,0;70,4;43575,0;71,3;43566,0;66,5;38656,0;76,3;36348,0;
Centro-Oeste;5;69,7;16039,0;75,3;21304,0;68,8;23480,0;69,8;25299,0;73,0;29879,0;79,0;33007,0;70,4;34305,0;78,7;31087,0;79,1;37070,0;79,5;43846,0;79,8;42107,0;71,5;33247,0;78,9;41365,0;80,5;42471,0;
Rondônia;11;80,0;829,0;77,8;1527,0;50,0;657,0;78,3;4276,0;82,7;4650,0;68,7;5378,0;82,8;4590,0;72,8;3417,0;81,7;4121,0;61,1;5161,0;65,2;3483,0;70,0;3411,0;72,0;4535,0;52,6;2701,0;
Acre;12;50,0;453,0;59,9;455,0;66,7;1262,0;85,7;974,0;41,5;296,0;69,0;2106,0;64,1;1310,0;41,2;477,0;28,7;267,0;71,4;1887,0;61,5;1520,0;76,2;2788,0;75,0;1511,0;88,9;2804,0;
Amazonas;13;90,0;2666,0;66,7;6526,0;77,3;5163,0;71,0;9751,0;82,0;7352,0;83,3;3165,0;75,0;1811,0;50,0;2428,0;91,7;3460,0;80,0;7704,0;76,2;5343,0;76,2;4699,0;72,7;7525,0;87,1;8787,0;
Roraima;14;100,0;707,0;100,0;370,0;100,0;479,0;56,6;1371,0;66,7;642,0;58,3;919,0;100,0;3636,0;83,3;825,0;100,0;1120,0;77,8;2428,0;85,7;2100,0;100,0;2130,0;80,0;1520,0;87,5;2894,0;
Pará;15;80,8;8471,0;75,5;8392,0;60,9;7192,0;67,4;11842,0;47,1;8803,0;63,7;18587,0;73,3;20078,0;71,7;17263,0;78,7;12040,0;84,3;27965,0;77,6;22176,0;78,0;26765,0;76,6;31294,0;80,9;29683,0;
Amapá;16;57,1;1000,0;62,5;1958,0;91,6;2355,0;75,1;840,0;85,7;1293,0;94,4;2359,0;80,0;2217,0;74,9;1342,0;80,0;1021,0;93,3;3234,0;80,0;2954,0;94,4;4349,0;78,5;2838,0;53,8;1838,0;
Tocantins;17;100,0;1714,0;88,9;1816,0;77,8;1555,0;70,0;1530,0;64,7;2406,0;85,7;4050,0;78,1;5803,0;87,5;5024,0;68,4;3107,0;89,7;6318,0;92,6;6003,0;84,4;6199,0;81,8;4592,0;83,3;5066,0;
Maranhão;21;71,0;17073,0;76,9;16432,0;77,8;11539,0;60,0;9785,0;60,0;12368,0;79,5;26367,0;80,5;29538,0;63,6;12565,0;82,8;22000,0;75,0;39896,0;69,8;28038,0;92,2;34484,0;85,7;41391,0;76,1;38331,0;
Piauí;22;72,7;4223,0;54,5;3096,0;90,9;5162,0;80,0;2103,0;100,0;4673,0;83,3;10360,0;80,9;8891,0;78,6;5932,0;83,3;8037,0;83,3;11310,0;72,0;10200,0;73,7;7979,0;81,3;7286,0;84,6;12381,0;
Ceará;23;73,3;3139,0;56,9;4418,0;57,8;7517,0;76,7;9769,0;59,5;5964,0;75,2;9816,0;71,4;7161,0;79,3;11480,0;75,6;6344,0;72,5;12343,0;84,5;12889,0;81,3;14300,0;87,7;17130,0;83,2;9025,0;
Rio Grande do Norte;24;100,0;1988,0;62,5;2434,0;36,3;1916,0;100,0;2363,0;66,7;1791,0;100,0;1423,0;66,6;3693,0;100,0;4713,0;94,1;7828,0;61,9;7787,0;83,4;6050,0;83,3;10010,0;69,2;6072,0;73,3;7769,0;
Paraíba;25;65,2;6994,0;62,5;4468,0;56,0;6861,0;81,8;8260,0;75,0;8118,0;61,1;5159,0;75,8;11874,0;57,2;3948,0;85,0;8437,0;58,8;6218,0;66,7;7338,0;66,7;7598,0;76,2;9966,0;78,6;7109,0;
Pernambuco;26;59,3;17834,0;74,1;15245,0;67,2;14051,0;62,3;13876,0;62,9;17251,0;86,1;16448,0;75,4;22253,0;78,7;27081,0;68,4;16086,0;69,1;23723,0;84,8;20063,0;76,3;17815,0;80,6;22509,0;78,3;32021,0;
Alagoas;27;85,7;2879,0;52,9;4157,0;56,5;6024,0;73,7;6370,0;78,6;10284,0;48,5;7643,0;58,3;3608,0;80,0;2196,0;90,0;9432,0;74,1;11509,0;54,6;3532,0;69,2;10894,0;57,9;6580,0;76,7;14473,0;
Sergipe;28;86,7;4433,0;75,0;2867,0;100,0;1639,0;85,7;4025,0;72,2;4305,0;90,5;6582,0;75,0;6859,0;85,2;7674,0;92,3;4138,0;76,5;4698,0;78,0;10877,0;84,6;7958,0;83,3;7228,0;84,6;8065,0;
Bahia;29;78,3;80456,0;76,2;82837,0;80,7;84249,0;72,9;78183,0;80,7;92115,0;78,5;102197,0;84,2;103101,0;86,0;99930,0;81,3;96011,0;81,9;111754,0;81,1;109150,0;77,7;100361,0;85,7;147819,0;83,6;133686,0;
Minas Gerais;31;64,3;42467,0;63,8;49612,0;67,5;56132,0;70,2;54274,0;72,7;61972,0;68,4;68207,0;73,0;64946,0;81,6;76848,0;81,3;72030,0;70,6;63215,0;82,2;86124,0;74,9;60031,0;82,6;80339,0;76,9;87745,0;
Espírito Santo;32;46,4;5922,0;44,8;6044,0;70,0;6625,0;69,0;9317,0;50,0;6035,0;76,7;10521,0;60,0;8682,0;67,7;10161,0;60,0;10004,0;87,1;13641,0;63,6;7315,0;84,2;9139,0;76,1;20569,0;79,4;16190,0;
Rio de Janeiro;33;67,5;55673,0;70,6;64457,0;74,4;57388,0;77,7;59466,0;75,8;65295,0;84,4;79561,0;83,4;68794,0;77,0;63920,0;85,7;63017,0;78,4;84729,0;84,5;96905,0;87,6;98617,0;77,2;79001,0;87,9;112754,0;
São Paulo;35;76,7;81281,0;77,7;78729,0;81,9;92979,0;83,9;85487,0;87,4;96608,0;80,0;87049,0;87,4;82069,0;85,8;97097,0;86,2;89334,0;82,8;83705,0;75,2;76287,0;85,9;100335,0;85,5;101407,0;85,6;122540,0;
Paraná;41;60,1;7884,0;44,0;5782,0;64,9;6992,0;74,9;8963,0;51,5;7101,0;73,0;10933,0;73,8;12001,0;88,7;10109,0;68,3;8722,0;57,9;8509,0;83,6;9209,0;75,5;9569,0;52,7;9785,0;84,9;10273,0;
Santa Catarina;42;66,7;4636,0;75,0;5201,0;61,1;6364,0;77,8;8209,0;72,7;4750,0;66,6;3516,0;52,9;5553,0;63,6;4675,0;83,3;6100,0;64,7;7288,0;57,9;7572,0;50,0;5385,0;75,0;4171,0;85,7;4299,0;
Rio Grande do Sul;43;62,5;16282,0;63,9;16485,0;80,3;19344,0;70,7;17532,0;68,9;18361,0;79,2;21302,0;77,6;21970,0;78,6;20363,0;74,0;17990,0;68,7;18531,0;70,9;26794,0;76,0;28612,0;72,7;24700,0;71,4;21776,0;
Mato Grosso do Sul;50;33,3;652,0;60,0;1902,0;55,6;3310,0;85,7;3785,0;66,7;5066,0;73,9;5335,0;62,5;4846,0;60,0;1919,0;70,0;4410,0;65,7;9067,0;84,2;6702,0;41,2;2870,0;68,2;6324,0;85,7;2650,0;
Mato Grosso;51;66,7;3513,0;84,6;3683,0;66,7;4509,0;54,1;6715,0;67,8;7088,0;76,7;7538,0;70,3;9594,0;81,3;10061,0;85,4;13851,0;85,4;14934,0;71,8;11667,0;87,5;9379,0;72,7;6855,0;69,6;7007,0;
Goiás;52;73,1;6215,0;73,7;9420,0;69,8;10235,0;71,0;7648,0;73,3;11243,0;79,6;12208,0;66,0;10952,0;78,6;11842,0;73,8;11104,0;83,3;12476,0;76,6;14733,0;70,3;11425,0;81,6;17819,0;80,4;18534,0;
Distrito Federal;53;77,8;5659,0;79,0;6299,0;80,6;5426,0;82,9;7151,0;85,7;6482,0;84,4;7926,0;83,3;8913,0;82,1;7265,0;82,9;7705,0;82,8;7369,0;96,9;9005,0;76,2;9573,0;87,2;10367,0;86,3;14280,0;
Belém;115;84,0;6536,0;79,2;2945,0;71,1;4332,0;80,8;3530,0;76,9;5228,0;76,7;5329,0;88,1;6652,0;88,9;5826,0;83,4;4793,0;81,8;8412,0;88,4;7365,0;89,8;9812,0;84,6;4783,0;90,3;7528,0;
Fortaleza;123;76,9;2136,0;77,8;1505,0;64,0;3512,0;77,5;6734,0;76,2;3493,0;71,4;4354,0;79,3;5117,0;88,2;6745,0;68,2;3311,0;76,5;4141,0;80,0;6748,0;77,8;6714,0;64,3;3048,0;91,7;3893,0;
Recife;126;68,0;3622,0;72,2;8359,0;79,6;9009,0;70,6;7614,0;74,3;10079,0;81,8;9580,0;77,5;12174,0;78,3;10510,0;73,0;11024,0;74,6;14407,0;94,6;13709,0;90,0;10552,0;81,3;10522,0;90,4;18173,0;
Salvador;129;84,6;37489,0;79,3;40906,0;82,8;41172,0;80,3;36405,0;85,2;36896,0;83,5;38902,0;85,6;43449,0;88,3;41651,0;81,7;42440,0;84,4;45340,0;91,3;53400,0;79,0;47066,0;90,4;60897,0;86,2;60804,0;
Belo Horizonte;131;85,7;15133,0;77,2;15968,0;80,0;22721,0;82,0;15587,0;84,9;16722,0;82,2;22555,0;78,9;21782,0;73,3;17336,0;88,1;19944,0;77,2;22482,0;84,4;25396,0;76,3;18040,0;85,7;24392,0;78,6;22700,0;
Rio de Janeiro;133;72,8;44598,0;70,6;47551,0;74,4;44742,0;78,8;40374,0;79,4;45093,0;83,0;58020,0;84,2;50274,0;77,5;39979,0;87,1;46381,0;77,7;58938,0;83,8;70097,0;89,2;69263,0;79,0;58366,0;89,9;85126,0;
São Paulo;135;83,9;44753,0;80,5;51706,0;87,9;68101,0;88,4;54128,0;87,8;63379,0;76,0;50013,0;90,3;51693,0;85,5;52601,0;89,7;59030,0;79,6;40935,0;83,3;46863,0;84,7;53200,0;87,7;59250,0;83,8;89248,0;
Curitiba;141;70,0;2550,0;46,2;2149,0;81,8;3350,0;100,0;2957,0;37,5;1144,0;62,5;3757,0;70,0;2699,0;100,0;2415,0;66,7;3085,0;66,7;2039,0;90,9;4470,0;66,7;3555,0;77,8;3224,0;85,7;2883,0;
Porto Alegre;143;65,5;7819,0;65,9;11328,0;83,5;15325,0;72,5;10111,0;82,2;12132,0;88,6;12829,0;81,0;14051,0;74,2;10929,0;79,6;8640,0;75,5;8395,0;74,0;16191,0;78,8;15262,0;67,6;11960,0;75,0;15172,0;

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Raça/cor / Pardos;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;74,2;3401860,0;75,4;3507050,0;75,9;3630612,0;75,6;3746618,0;75,3;3786161,0;75,8;3655721,0;76,0;3556609,0;78,6;3796802,0;80,3;3911955,0;81,0;3871965,0;80,3;4035677,0;81,4;4204314,0;79,9;4011962,0;82,7;4168152,0;
Norte;1;75,4;356771,0;78,9;374589,0;78,2;384564,0;75,4;528866,0;73,1;481949,0;74,3;500646,0;74,9;506251,0;79,0;563809,0;79,9;563536,0;80,7;576389,0;82,0;589037,0;81,5;580778,0;79,7;557880,0;83,6;624162,0;
Nordeste;2;74,1;1630374,0;75,7;1696618,0;75,3;1709420,0;74,4;1653806,0;74,7;1621284,0;75,0;1531644,0;75,5;1493821,0;77,9;1515856,0;80,2;1622374,0;81,0;1590633,0;79,8;1622008,0;81,8;1683140,0;79,9;1572541,0;81,7;1616196,0;
Sudeste;3;75,5;1011123,0;75,5;1009266,0;77,0;1082199,0;78,9;1102966,0;77,8;1226961,0;78,9;1145694,0;78,1;1067686,0;80,2;1209037,0;81,8;1185681,0;82,1;1198139,0;81,7;1281841,0;82,2;1351867,0;81,7;1341285,0;84,8;1370544,0;
Sul;4;64,0;123933,0;66,6;144007,0;68,7;146718,0;68,8;149107,0;69,3;149909,0;64,4;161395,0;69,4;173702,0;72,3;187514,0;72,6;207615,0;74,4;205514,0;69,1;208972,0;75,2;241460,0;73,8;230895,0;75,9;223178,0;
Centro-Oeste;5;73,3;279659,0;73,8;282570,0;76,3;307711,0;74,7;311873,0;76,0;306058,0;77,9;316342,0;77,4;315149,0;79,6;320586,0;81,4;332749,0;81,9;301290,0;82,6;333819,0;81,4;347069,0;78,1;309361,0;82,4;334072,0;
Rondônia;11;72,9;26797,0;69,7;28574,0;72,0;28698,0;68,5;41802,0;68,6;38297,0;69,8;35827,0;71,9;38448,0;75,0;39737,0;78,9;47452,0;77,6;44817,0;78,4;49020,0;78,8;46232,0;74,8;43325,0;78,2;48371,0;
Acre;12;68,8;13007,0;77,3;16528,0;74,0;14346,0;73,0;23021,0;74,6;19692,0;74,6;22599,0;72,0;21180,0;70,9;22186,0;75,9;21203,0;77,7;26235,0;74,7;23041,0;77,7;25431,0;73,9;24695,0;84,1;32411,0;
Amazonas;13;80,1;93081,0;85,8;89558,0;84,4;92046,0;81,7;109369,0;76,7;105292,0;80,3;129595,0;82,1;128810,0;84,0;143144,0;80,5;132488,0;83,7;129994,0;85,1;129852,0;79,0;137668,0;78,8;136041,0;82,6;136045,0;
Roraima;14;86,7;11489,0;78,6;10200,0;84,8;12467,0;82,3;16946,0;72,1;13421,0;85,1;14225,0;84,6;14074,0;82,4;14240,0;85,1;14747,0;85,2;13012,0;84,4;18885,0;82,1;15440,0;74,8;14069,0;86,4;22313,0;
Pará;15;72,4;154941,0;75,6;157768,0;74,7;164482,0;73,2;265285,0;70,4;230079,0;69,6;222094,0;70,7;239667,0;76,3;268417,0;78,3;274335,0;79,8;284241,0;81,7;285457,0;83,5;272397,0;81,4;272907,0;84,4;307600,0;
Amapá;16;84,1;9262,0;84,9;19751,0;87,9;21847,0;81,3;24336,0;84,6;27078,0;83,2;26808,0;81,6;19958,0;90,3;27252,0;87,9;26483,0;81,1;26813,0;82,8;36678,0;79,1;27116,0;81,1;22199,0;81,7;25746,0;
Tocantins;17;76,8;48194,0;82,4;52210,0;79,2;50678,0;78,0;48107,0;77,7;48090,0;78,6;49498,0;78,8;44114,0;81,9;48833,0;85,2;46828,0;81,8;51277,0;82,0;46104,0;83,4;56494,0;82,2;44644,0;86,1;51676,0;
Maranhão;21;72,8;220428,0;71,0;226778,0;72,1;229970,0;75,7;259285,0;74,6;234975,0;74,2;229646,0;73,9;200498,0;76,6;205505,0;83,3;219066,0;81,4;223087,0;81,4;222038,0;84,5;268547,0;82,4;243790,0;82,8;246522,0;
Piauí;22;75,3;112436,0;75,4;124913,0;81,0;120764,0;73,5;105072,0;75,3;112197,0;77,4;108264,0;77,1;109380,0;78,9;100811,0;79,3;102283,0;81,6;100111,0;80,8;114458,0;84,1;120815,0;82,0;112112,0;82,8;110880,0;
Ceará;23;74,6;241683,0;77,2;256460,0;75,3;267866,0;73,4;256583,0;77,5;250508,0;77,0;244640,0;74,3;232970,0;77,4;252482,0;80,8;286993,0;83,0;274187,0;83,0;297949,0;81,4;277505,0;81,2;263384,0;80,4;250123,0;
Rio Grande do Norte;24;71,3;78953,0;73,9;78387,0;72,8;94902,0;74,5;88396,0;73,6;78799,0;73,9;84427,0;77,6;84985,0;75,5;68365,0;72,7;78266,0;78,2;79682,0;76,7;69551,0;81,2;72068,0;79,0;73544,0;76,7;72052,0;
Paraíba;25;73,4;109155,0;75,6;112158,0;77,8;109782,0;73,6;105994,0;74,9;118581,0;76,2;100303,0;72,7;97367,0;73,9;100638,0;78,8;107193,0;79,3;100103,0;78,7;106378,0;76,8;100697,0;71,2;81593,0;81,6;91795,0;
Pernambuco;26;70,5;231785,0;71,4;221933,0;71,4;236802,0;73,4;235486,0;73,5;234899,0;74,1;222060,0;73,9;229533,0;77,1;213286,0;79,9;234419,0;80,0;230143,0;74,1;217111,0;82,4;244678,0;76,9;229264,0;80,1;246612,0;
Alagoas;27;73,1;99339,0;73,5;92368,0;75,9;93571,0;67,9;75986,0;68,2;89289,0;70,0;80236,0;72,3;94331,0;75,7;90639,0;73,8;115283,0;74,0;98389,0;78,0;112431,0;76,6;95044,0;77,2;111295,0;85,4;106339,0;
Sergipe;28;71,6;61051,0;78,8;75856,0;76,6;69798,0;76,5;63389,0;73,3;62590,0;75,8;58511,0;79,3;58805,0;85,8;62382,0;81,1;66555,0;80,5;62479,0;82,7;71718,0;83,1;65803,0;76,2;64701,0;79,8;72219,0;
Bahia;29;77,3;475544,0;79,8;507765,0;77,3;485965,0;76,0;463615,0;75,4;439446,0;75,0;403557,0;78,4;385952,0;79,8;421748,0;82,6;412316,0;82,7;422452,0;80,5;410374,0;81,6;437983,0;82,5;392858,0;82,7;419654,0;
Minas Gerais;31;71,7;358777,0;72,9;353439,0;72,6;362755,0;74,3;380874,0;74,1;429301,0;74,0;405861,0;75,6;354586,0;78,9;403124,0;78,2;399443,0;76,3;372742,0;80,6;413299,0;82,3;438280,0;80,8;422597,0;85,3;434595,0;
Espírito Santo;32;67,5;61507,0;68,1;68344,0;72,4;78054,0;73,8;70821,0;71,2;80304,0;75,4;72716,0;69,7;66560,0;70,3;65330,0;81,7;72443,0;84,6;83349,0;77,0;76805,0;78,0;81124,0;77,0;84637,0;82,4;78552,0;
Rio de Janeiro;33;81,5;182286,0;78,9;177779,0;79,1;192289,0;84,4;221966,0;82,4;216564,0;86,6;224609,0;81,6;201423,0;84,2;239931,0;87,4;231494,0;85,4;260214,0;83,8;273079,0;84,2;284745,0;83,2;262242,0;85,9;276090,0;
São Paulo;35;78,1;408553,0;78,0;409704,0;80,9;449101,0;81,5;429305,0;80,4;500792,0;80,8;442508,0;80,1;445117,0;81,0;500652,0;82,5;482301,0;84,8;481834,0;82,2;518658,0;81,8;547718,0;82,5;571809,0;84,3;581307,0;
Paraná;41;61,4;78092,0;69,6;93883,0;74,3;94696,0;67,8;97436,0;70,0;91021,0;66,9;98032,0;69,6;100873,0;73,6;109767,0;72,4;111804,0;75,6;116580,0;71,7;115669,0;76,2;134510,0;71,7;119157,0;76,8;121021,0;
Santa Catarina;42;77,8;12163,0;59,3;18494,0;60,3;20251,0;60,9;16421,0;60,7;20187,0;56,3;15824,0;66,1;24060,0;68,9;20707,0;74,1;36595,0;71,2;27810,0;66,7;27529,0;65,2;28961,0;79,2;42433,0;76,1;36538,0;
Rio Grande do Sul;43;66,3;33678,0;63,1;31630,0;60,4;31771,0;76,4;35250,0;72,9;38701,0;62,6;47539,0;70,6;48769,0;71,0;57040,0;72,2;59216,0;73,8;61124,0;65,9;65774,0;78,0;77989,0;74,4;69305,0;74,0;65619,0;
Mato Grosso do Sul;50;63,3;33234,0;67,0;46904,0;70,1;43362,0;65,6;43237,0;69,3;41489,0;72,5;45507,0;72,0;44909,0;75,8;47940,0;75,4;48208,0;75,4;37452,0;77,0;47727,0;70,2;45529,0;77,1;42569,0;74,6;46834,0;
Mato Grosso;51;72,9;67094,0;70,6;68292,0;72,1;69260,0;73,1;71125,0;74,5;71864,0;74,4;74423,0;76,1;68259,0;78,5;70788,0;80,4;76363,0;82,8;78100,0;81,7;72503,0;85,1;91520,0;76,0;67692,0;76,2;71375,0;
Goiás;52;73,0;128201,0;74,9;120766,0;79,1;139516,0;75,6;134827,0;77,5;140645,0;77,6;130704,0;78,5;146938,0;78,9;141008,0;80,2;141118,0;82,5;131390,0;83,0;156377,0;81,5;154667,0;74,9;133232,0;85,1;147388,0;
Distrito Federal;53;83,5;51130,0;84,7;46608,0;80,5;55573,0;82,5;62684,0;80,6;52060,0;87,5;65708,0;81,2;55043,0;85,9;60850,0;90,5;67060,0;84,3;54348,0;87,9;57212,0;86,5;55353,0;89,3;65868,0;90,6;68475,0;
Belém;115;80,2;65552,0;81,5;62790,0;81,0;59522,0;82,0;74520,0;83,0;59614,0;84,0;60081,0;80,7;59247,0;85,3;65266,0;87,8;68256,0;89,5;70111,0;89,9;67227,0;85,8;59321,0;88,3;65646,0;89,3;65954,0;
Fortaleza;123;79,8;95197,0;80,8;110392,0;80,8;105211,0;80,2;101836,0;80,4;97758,0;80,9;101586,0;81,6;94539,0;80,9;102534,0;82,1;109127,0;83,9;110815,0;84,0;109625,0;82,9;119579,0;81,0;107043,0;83,2;108621,0;
Recife;126;78,7;100150,0;78,5;90010,0;78,3;92968,0;80,4;98809,0;83,5;102194,0;77,7;88351,0;86,8;87408,0;82,9;87893,0;84,5;84842,0;84,0;79647,0;85,0;85103,0;83,2;90013,0;83,7;84694,0;83,6;92765,0;
Salvador;129;85,2;108206,0;86,2;102799,0;83,2;91478,0;84,7;102414,0;83,8;77912,0;84,0;77171,0;84,7;71641,0;85,1;90450,0;84,1;78244,0;88,3;90384,0;87,1;83100,0;86,9;89322,0;86,2;86343,0;88,8;84998,0;
Belo Horizonte;131;82,7;97995,0;85,2;93984,0;79,7;90873,0;86,6;108336,0;83,9;120074,0;82,9;101879,0;80,5;98026,0;87,9;105591,0;84,2;97826,0;81,0;97415,0;83,9;101585,0;84,8;112225,0;83,2;117156,0;86,5;116376,0;
Rio de Janeiro;133;83,6;145074,0;79,8;126592,0;78,4;140232,0;85,5;162785,0;83,8;159321,0;88,4;167180,0;83,8;155837,0;87,2;185059,0;87,5;171709,0;86,0;191041,0;83,0;187778,0;85,5;216858,0;84,2;193248,0;85,9;209653,0;
São Paulo;135;83,3;261619,0;82,2;257681,0;84,2;277529,0;83,7;273329,0;84,7;311640,0;85,5;269388,0;86,3;256626,0;85,0;280870,0;83,5;279646,0;87,5;264514,0;87,7;283225,0;84,7;293668,0;85,4;323267,0;86,2;316115,0;
Curitiba;141;56,2;18221,0;56,5;13965,0;73,1;18237,0;72,0;21793,0;71,1;22501,0;69,7;23290,0;67,7;25832,0;78,0;25768,0;72,6;26611,0;70,7;33131,0;61,9;29039,0;82,4;24872,0;81,3;29935,0;72,2;24973,0;
Porto Alegre;143;70,1;11110,0;67,4;12139,0;75,3;11098,0;72,6;10716,0;79,8;14357,0;62,9;13660,0;77,4;19535,0;77,3;15166,0;80,8;22379,0;74,0;16783,0;66,9;19385,0;73,7;20360,0;65,4;16941,0;69,4;17198,0;

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Renda familiar per capita / 25% mais pobres;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
